ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
209,Corticosteroid-binding globulin,SERPINA6,179971,J02943,P08185,CBG_HUMAN,2VDX; 2VDY; 4BB2; 4C41; 4C49,,SERPINA6,HGNC:1540,Humans,DB00180; DB01410
229,Sodium/potassium-transporting ATPase subunit gamma,FXYD2,1575004,U50743,P54710,ATNG_HUMAN,2MKV,,FXYD2,HGNC:4026,Humans,DB09479
530,Serum albumin,ALB,28590,V00494,P02768,ALBU_HUMAN,1AO6; 1BJ5; 1BKE; 1BM0; 1E78; 1E7A; 1E7B; 1E7C; 1E7E; 1E7F; 1E7G; 1E7H; 1E7I; 1GNI; 1GNJ; 1H9Z; 1HA2; 1HK1; 1HK2; 1HK3; 1HK4; 1HK5; 1N5U; 1O9X; 1TF0; 1UOR; 1YSX; 2BX8; 2BXA; 2BXB; 2BXC; 2BXD; 2BXE; 2BXF; 2BXG; 2BXH; 2BXI; 2BXK; 2BXL; 2BXM; 2BXN; 2BXO; 2BXP; 2BXQ; 2ESG; 2I2Z; 2I30; 2N0X; 2VDB; 2VUE; 2VUF; 2XSI; 2XVQ; 2XVU; 2XVV; 2XVW; 2XW0; 2XW1; 2YDF; 3A73; 3B9L; 3B9M; 3CX9; 3JQZ; 3JRY; 3LU6; 3LU7; 3LU8; 3SQJ; 3TDL; 3UIV; 4BKE; 4E99; 4EMX; 4G03; 4G04; 4HGK; 4HGM; 4IW1; 4IW2; 4K2C; 4K71; 4L8U; 4L9K; 4L9Q; 4LA0; 4LB2; 4LB9; 4N0F; 4N0U; 4S1Y,,ALB,HGNC:399,Humans,DB13751
685,Sex hormone-binding globulin,SHBG,296673,X16349,P04278,SHBG_HUMAN,1D2S; 1F5F; 1KDK; 1KDM; 1LHN; 1LHO; 1LHU; 1LHV; 1LHW,,SHBG,HGNC:10839,Humans,DB01406
732,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,219942,D00099,P05023,AT1A1_HUMAN,,,ATP1A1,HGNC:799,Humans,DB09479
1043,von Willebrand factor,VWF,37947,X04385,P04275,VWF_HUMAN,1AO3; 1ATZ; 1AUQ; 1FE8; 1FNS; 1IJB; 1IJK; 1M10; 1OAK; 1SQ0; 1U0N; 1UEX; 2ADF; 2MHP; 2MHQ; 3GXB; 3HXO; 3HXQ; 3PPV; 3PPW; 3PPX; 3PPY; 3ZQK; 4C29; 4C2A; 4C2B; 4DMU; 4NT5,,VWF,HGNC:12726,Humans,DB14738
1821,"Fatty acid-binding protein, brain",FABP7,2632065,AJ002962,O15540,FABP7_HUMAN,1FDQ; 1FE3; 1JJX,,FABP7,HGNC:3562,Humans,DB00159
4919,Sodium/potassium-transporting ATPase subunit beta-1,ATP1B1,,,P05026,AT1B1_HUMAN,,,,HGNC:804,Humans,DB09479
4943,Sodium/potassium-transporting ATPase subunit beta-2,ATP1B2,,,P14415,AT1B2_HUMAN,,,,HGNC:805,Humans,DB09479
4951,Sodium/potassium-transporting ATPase subunit beta-3,ATP1B3,,,P54709,AT1B3_HUMAN,,,,HGNC:806,Humans,DB09479
4956,Sodium/potassium-transporting ATPase subunit alpha-4,ATP1A4,,,Q13733,AT1A4_HUMAN,,,,HGNC:14073,Humans,DB09479
4959,Sodium/potassium-transporting ATPase subunit alpha-2,ATP1A2,,,P50993,AT1A2_HUMAN,,,,HGNC:800,Humans,DB09479
4972,Sodium/potassium-transporting ATPase subunit alpha-3,ATP1A3,,,P13637,AT1A3_HUMAN,,,,HGNC:801,Humans,DB09479
